1. Wie oft waren Sie wegen der durch die Krebserkrankung verursachten Symptome bei einem/r Hausarzt/-ärztin oder Allgemeinarzt/-ärztin, bevor Sie eine:n Spezialisten/-in konsultiert haben?;1. Combien de fois avez-vous vu un∙e médecin de famille / généraliste pour les symptômes causés par le cancer avant de voir un·e médecin spécialiste ?
Nie – Ich bin direkt zu einem/r Spezialisten/-in gegangen;Aucune fois – Je suis allé·e directement voir un·e médecin spécialiste
Nie – Ich hatte keine Symptome und der Krebs wurde im Rahmen einer Routine-/ Nachuntersuchung oder bei einer Vorsorge-untersuchung entdeckt;Aucune fois – Je n’ai pas eu de symptômes et le cancer a été dépisté lors d’un examen de routine ou de suivi ou dans le cadre d’un programme de dépistage
Ich war 1 oder 2 Mal bei einem/r Arzt/Ärztin;J’ai vu un·e médecin 1 ou 2 fois
Ich war 3 oder 4 Mal bei einem/r Arzt/Ärztin;J’ai vu un·e médecin 3 ou 4 fois
Ich war 5 oder mehr Mal bei einem/r Arzt/ Ärztin;J’ai vu un·e médecin 5 fois ou plus
Ich weiss es nicht / Ich erinnere mich nicht;Je ne sais pas / je ne m’en souviens plus
2. Wie empfanden Sie die Wartezeit vor dem ersten Termin bei einem Spezialisten?;2. Que pensez-vous de la période d’attente avant votre premier rendez-vous avec un·e médecin spécialiste ?
Ich bekam einen Termin, sobald mir dies notwendig erschien;J’ai été vu·e dès que cela m’a semblé nécessaire
Ich hätte etwas früher einen Termin bekommen müssen;J’aurais dû être vu·e un peu plus tôt
Ich hätte viel früher einen Termin bekommen müssen;J’aurais dû être vu·e beaucoup plus tôt
Es gab keine Wartezeit, da ich keinen Termin vereinbart habe (z. B. Notfall);Je n’ai pas eu d’attente car je n’ai pas pris de rendez-vous (par ex. consultation en urgence)
Ich weiss es nicht / Ich erinnere mich nicht;Je ne sais pas / je ne m’en souviens plus
3. Wurden bei Ihnen in den letzten 12 Monate eine oder mehrere diagnostische Untersuchungen wegen Krebs in dem im Einladungsschreiben genannten Spital durchgeführt, wie zum Beispiel eine Endoskopie, eine Biopsie, eine Mammographie oder eine Computertomographie?;3. Au cours des 12 derniers mois, avez-vous effectué un ou plusieurs examens diagnostiques pour le cancer, tels qu’une endoscopie, une biopsie, une mammographie ou un scanner, à l’hôpital mentionné dans la lettre d’invitation ?
Ja → weiter zu Frage 4;Oui → allez à la question 4
Nein → weiter zu Frage 7;Non → allez à la question 7
